spd,vsb,temp,dewp,slp,pcp01,pcp06,pcp24,sd,hday,Bronx,Brooklyn,EWR,Manhattan,Queens,Staten Island,day,month,range
0.0,1.0,0.48192771084337355,0.34146341463414637,0.6153846153846168,0.0,0.0,0.09444444444444429,0.0,0,0,0,0,1,0,0,2,4,3
0.5238095238095237,1.0,0.42168674698795183,0.475609756097561,0.1461538461538474,0.0,0.27553763440860246,0.2619047619047619,0.15570175438596476,0,0,0,0,0,0,1,25,1,2
0.42857142857142855,1.0,0.46987951807228917,0.5609756097560976,0.30192307692307807,0.0,0.0,0.27619047619047615,0.03728070175438595,0,0,1,0,0,0,0,15,3,4
0.38095238095238093,1.0,0.3373493975903614,0.4024390243902439,0.3673076923076941,0.0,0.0,0.04523809523809524,0.42105263157894735,1,0,0,0,0,1,0,12,2,3
0.3333333333333333,1.0,0.27710843373493976,0.18292682926829268,0.8230769230769255,0.0,0.0,0.0,0.5789473684210527,0,0,0,0,0,0,1,28,2,1
0.19047619047619047,0.20750000000000002,0.4578313253012048,0.6585365853658537,0.46923076923076934,0.0,0.0,0.0047619047619047615,0.0,0,0,0,0,0,0,1,10,4,5
0.23809523809523808,1.0,0.3012048192771084,0.3048780487804878,0.3788461538461547,0.0,0.0,0.0027777777777777757,0.5855263157894737,0,0,0,1,0,0,0,17,2,8
0.349206349206349,0.6333333333333331,0.6425702811244977,0.8008130081300817,0.5500000000000007,0.19047619047619035,0.0,0.0,0.0,0,0,1,0,0,0,0,17,4,4
0.2857142857142857,1.0,0.6506024096385543,0.7073170731707317,0.17884615384615543,0.0,0.020161290322580648,0.0,0.0,0,0,0,0,0,0,1,17,3,6
0.23809523809523808,1.0,0.3373493975903614,0.36585365853658536,0.6788461538461554,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,23,1,3
0.23809523809523808,1.0,0.6987951807228916,0.6219512195121951,0.7326923076923073,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,14,5,5
0.42857142857142855,1.0,0.42168674698795183,0.45121951219512196,0.7096153846153825,0.03571428571428571,0.0,0.0047619047619047615,0.039473684210526314,0,1,0,0,0,0,0,12,1,4
0.0,1.0,0.6867469879518073,0.6951219512195121,0.6923076923076934,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,24,5,1
0.3333333333333333,1.0,0.5180722891566266,0.4634146341463415,0.4192307692307722,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,16,3,6
0.0,1.0,0.43373493975903615,0.475609756097561,0.4788461538461526,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,16,3,5
0.14285714285714285,1.0,0.3012048192771084,0.2804878048780488,0.5500000000000007,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,1,1,3
0.14285714285714285,1.0,0.1566265060240964,0.12195121951219512,0.7846153846153854,0.0,0.0,0.0,0.47368421052631576,0,0,0,1,0,0,0,21,2,2
